id,name,name_type,name_en,status,marki,sity,adress,X,Y,telefon,site,time,time2,Способы оплаты
S1078,АвтоВито-Юг. ,АвтоВито-Юг. автосервис,AvtoVito-South,Независимый,Mersedes,Москва,ул. Южнопортовая. д. 15. стр. 23а,37.69869,55.707745,8 495 662-66-61,http://www.mb-vito.ru/,9:00-20:00,9:00-20:00,Наличный расчет
S1079,АвтоВито-Бутово. ,АвтоВито-Бутово. Автосервис,AvtoVito_Butovo,Независимый,Mersedes,Москва,ул. Феодосийская. д. 1. корп. 5,37.57687,55.561777,8 495 739-79-57,http://www.mb-vito.ru/,9:00-20:00,9:00-20:00,Наличный расчет
S1080,АвтоВи. ,АвтоВи. автосервис,Avtovo,Независимый,Все марки,Москва,Барышиха. 35 ст1,37.33685375,55.84748653,(495) 754-09-96. 8-915-063-93-93,www.autovi.net,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard.
S1081,Автогидросистемы. ,Автогидросистемы. автотехцентр,Avtogidrosistemy,Независимый,Все марки,Москва,Новоостаповская. 5 ст2 - 1 этаж,37.6769806,55.72365043,(495) 507-63-55. 8-903-144-13-46,www.autogidro.ru,,,Наличный расчет. Оплата через банк. через банк
S1082,АВТОГЛОБУС.,АВТОГЛОБУС. специализированный сервисный центр,AVTOGLOBUS,Независимый,Nissan. Infiniti,Москва,Вольная. 28 - въезд с ул. Вольный 2-й пер,37.73675976,55.77546725,,www.autoglobus.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard.
S1083,Автогран. ,Автогран. технический центр,Avtogran,Независимый,Все марки,Москва,Авиаторов. 7,37.40297189,55.64131711,(495) 738-01-00 (многоканальный),www.autogran.ru,9:00-20:00,9:00-20:00,Наличный расчет
S1084,АВТОГРОВЕР. ,АВТОГРОВЕР. техцентр,AVTOGROVER,Независимый,Все марки,Москва,Сетуньский 1-й проезд. 10 ст5,37.53703046,55.73428892,(495) 645-44-88 (многоканальный),www.avtogrover.ru,,,Наличный расчет
S1085,Автодаръ. ,Автодаръ. автотехцентр,Avtodar,Независимый,"Audi. Opel. Toyota. Lexus. Volkswagen, Skoda",МО. Одинцовский р-н,пос.Заречье..ул.Торговая. стр.1. павильон 2B-21,37.415092,55.681199, +7 (495) 971-57-70,http://www.autodar.ru/,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card.
S1086,Автодар-сервис. ,Автодар-сервис. автотехцентр,Avtodar_service,Независимый,Все марки,Москва,Ленинградский проспект. 45г - вход с торца,37.52864569,55.7965509,(495) 787-01-29. (499) 943-84-30. (499) 943-84-53,www.autodarservice.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard.
S1087,АвтоДа. ,АвтоДа. автосервис,Motorhome,Независимый,BMW,Москва,Ферганская. 2 - 1 этаж,37.80032923,55.71075445,8-925-585-78-35 (единая справочная),bmwpart.ru,10:00-19:00,10:00-19:00,Наличный расчет. Visa. MasterCard
S1088,Автоделоff. ,Автоделоff. автосервис,Avtodeloff,Независимый,Все марки,Москва,Дербеневская. 7 ст19,37.64969966,55.72186669,(495) 210-06-09,www.avtodeloff.ru,9:00-18:00,выходной,Наличный расчет. Visa. MasterCard
S1090,АвтоДиагност. ,АвтоДиагност. автотехцентр,Diagnosticians,Независимый,Audi. Volkswagen. Skoda. Mersedes. BMW,Москва,Угрешская. 12,37.6958803,55.71374432,(495) 661-88-58,www.auto-diagnost.ru,9:00-19:00,9:00-16:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card.
S1091,АвтоДизайн. ,АвтоДизайн. автотехцентр,Autodesign,Независимый,Все марки,Москва,Автомобильный проезд. 6,37.70162051,55.73033075,8-926-010-70-01. 8-926-010-37-00,www.dizauto.ru,10:00-20:00,10:00-17:00,Наличный расчет. Оплата через банк. через банк
S1092,Автодизайн. ,Автодизайн. автоцентр,Auto-design,Независимый,Все марки,Железнодорожный,Советская. 15а,38.0169465,55.75140558,8-968-752-21-36. 8-926-474-82-20,,9:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard.
S1093,АВТОДОКТОР. ,АВТОДОКТОР. автосервис,Avtodoktor,Независимый,Все марки,Москва,ул. Солнечногорская. д.4 ,37.520878,55.857104,8-926-844-74-71. 8-963-782-78-68,http://a-doktor.ru/,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S1094,Автодок. ,Автодок. автосервис,Autodoc,Независимый,Все марки,Москва,Рязанский проспект. 2 ст63,37.73765257,55.72646807,(499) 409-00-28,autodok.pro,,,Наличный расчет
S1095,Автодок. ,Автодок. СТО,Autodoc,Независимый,Все марки,Подольск,Лобачева. 7,37.57107193,55.43426383,8-926-207-47-92,автодоки.рф,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. American Express. Maestro Card. Union Card.
S1096,Автодок. ,Автодок. техцентр,Autodoc,Независимый,Все марки,Щёлково (Щёлковский район),Свирская. 21а,38.00328242,55.91418741,8-926-133-60-95,,9:00-20:00,9:00-20:00,Наличный расчет
S1097,АвтоДок-С. ,АвтоДок-С. автотехцентр,Autodoc-C,Независимый,Все марки,Москва,Электролитный проезд. 12Б - 1 этаж,37.61486607,55.67068752,8-963-750-04-05. 8-909-999-30-67,,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1098,АВТОДОР. ,АВТОДОР. техцентр,AVTODOR,Независимый,Audi. Volkswagen. Skoda. Seat,Москва,Сигнальный проезд. 19 - 1 этаж,37.59313454,55.85461411,(495) 749-20-10. 8-903-549-20-10,www.vag.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1099,Автозащита.,Автозащита. автоцентр,Auto_Protection,Независимый,Все марки,Москва,Дубининская. 69 к75 - 1 этаж,37.63545938,55.7140095,(495) 922-15-91. (495) 922-15-92,www.autodefence.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона.
S1100,Автокарат. ,Автокарат. торгово-сервисная компания,Avtokarat,Независимый,Mercedes,Москва,Силикатный 2-й проезд. 34 ст1,37.5007645,55.77208912,(495) 933-97-87. (495) 961-08-48. (495) 961-08-38,www.autokarat.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card.
S1101,Автоклевер. ,Автоклевер. техцентр,Avtoklever,Независимый,Все марки,Москва,Сигнальный проезд. 19,37.59313454,55.85461411,(495) 507-72-48. 8-925-507-72-48. 8-906-078-71-48,avtoklever.ru,8:00-22:00,10:00-18:00,Наличный расчет
S1102,Автоклуб 8.,Автоклуб 8. сервисный центр,Auto_Club_8,Независимый,BMW. Mercede. Mitsubishi. Nissan. Infiniti. Ford,Москва,Садовники. 11а,37.65803776,55.67403439,(495) 788-80-94,autoclub8.ru,8:30-21:00,8:30-21:00,Наличный расчет. Visa. MasterCard. Maestro Card
S1103,АвтоКлуб. ,АвтоКлуб. технический центр,Automobile_Club,Независимый,Chevrolet. Opel. Daewoo. Hyundai.,Москва,Лермонтовский проспект. 21а - 1. 2 этаж,37.85936948,55.70007266,(495) 984-52-15 (многоканальный). (495) 961-88-44. (495) 968-38-28,www.gmclub.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1104,Автокомплекс на ул. Кирова. 19 ст1,Автокомплекс на ул. Кирова. 19 ст1,Autocomplex_Street_Kirov_19_CT1,Независимый,Все марки,Старая Купавна (Ногинский район),Кирова. 19 ст1,38.18275756,55.80385404,,,9:00-19:00,9:00-19:00,Наличный расчет
S1105,Автокредо Плюс. ,Автокредо Плюс. автосервис,Car_Loan_Plus,Независимый,Все марки,Москва,Плеханова. 10а - 34 бокс.  1 этаж,37.75983943,55.74838058,8-903-138-83-83,http://www.avtokredoplus.ru/,,,Наличный расчет. Оплата через банк. через банк
S1106,АВТОКРУГ. ,АВТОКРУГ. техцентр,AVTOKRUG,Независимый,Audi. Volkswagen. Skoda. Seat. BMW.Mersedes. Porcshe. Land-Rover,Москва,Калужское шоссе. 4 - 1 этаж,37.48415856,55.60428255,(495) 507-69-91. 8-916-809-72-96,www.avtokrug.ru,8:00-20:00,9:00-19:00,Наличный расчет. Оплата через банк. через банк
S1107,Автокузов+. ,Автокузов+. автосервис,Avtokuzov_+,Независимый,Все марки,Москва,Красная Сосна. 14,37.68621698,55.84796389,(495) 774-83-22,www.autokuzovplus.ru,10:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. через банк
S1108,Автолегион. ,Автолегион. техцентр,Avtolegion,Независимый,Все марки,Москва,Магистральная 3-я. 10 ст1 - 1 этаж,37.52303349,55.76298873,(495) 989-45-70. 8-903-723-03-68,autolegion.su,10:00-21:00,10:00-21:00,Наличный расчет
S1109,АВТОЛЕКС.,АВТОЛЕКС. технический центр,AVTOLEKS,Независимый,Все марки,Москва,Добролюбова пер. 3 ст2,37.59204663,55.80956719,(495) 984-25-44. (495) 618-72-61,autoleks.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. American Express. Maestro Card. Union Card.
S1110,Автолик. ,Автолик. автотехцентр,Autolycus,Независимый,Все марки,Москва,Ямского Поля 1-я. 17Б,37.58510268,55.78480837,,www.avtolik.net,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S1111,АвтоЛюкс.,АвтоЛюкс. СТО,Autolux,Независимый,Все марки,Железнодорожный,Дальняя. 1,37.98036617,55.73957338,(495) 749-32-80,stoautolux.ru,9:00-19:00,10:00-16:00,Наличный расчет
S1112,Автолюкс-Ронам. ,Автолюкс-Ронам. автосервис,Autolux-Ronam,Независимый,Все марки,Москва,Каширское шоссе. 3 к1,37.62850597,55.67152824,(495) 722-56-35,,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1113,Автомагнат. ,Автомагнат. автосервис,Avtomagnat,Независимый,Все марки,Москва,Алтуфьевское шоссе. 79г,37.58582176,55.88453467,(499) 902-53-32,www.automagnate.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1114,Автомаксимум. ,Автомаксимум. автомастерская,Avtomaksimum,Независимый,Все марки,Москва,Свободы. 35 ст9 - въезд с ул. Новопоселковая,37.44393114,55.84260921,8-901-538-22-88. 8-925-517-74-11. 8-903-011-61-61,www.avtomaximum.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1115,АвтоМакс. ,АвтоМакс. автосервис,AvtoMaks,Независимый,Все марки,Москва,Сосновая аллея (Зеленоград). 7,37.24974538,55.98201809,8-916-200-36-37,www.zelavtomax.ru,,,Наличный расчет. Оплата через банк. через банк
S1116,АвтоМакс. ,АвтоМакс. автотехцентр,AvtoMaks,Независимый,Все марки,Москва,Силикатный 3-й проезд. 6 к1 ст10,37.50226833,55.76883021,(495) 649-50-75. 8-916-462-22-22,www.remontavto.su,,,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1117,Автомания24. ,Автомания24. техцентр,Avtomaniya24,Независимый,Все марки,Москва,Елизаветинский пер. 10/2 ст9,37.67112667,55.76006899,(495) 233-30-05,automania24.ru,,,Наличный расчет. Оплата через банк. через банк
S1118,Автомаркет 2000.,Автомаркет 2000. торгово-сервисная компания,Avtomarket_2000,Независимый, Audi. Volkswagen. BMW. Mercedes. Kia. Hyundai. Ford. Mazda,Москва,Кетчерская. вл3г,37.8257592,55.74502475,(495) 508-75-48. (495) 518-55-62,www.automarket2000.ru,,,Наличный расчет
S1119,Автомастерская на ул. Ватутина. 2,Автомастерская на ул. Ватутина. 2,Shop_on_the_street_Vatutin_2,Независимый,Все марки,Химки,Ватутина (Сходня). 2,37.29094144,55.94325861,,,8:00-23:00,8:00-23:00,Наличный расчет
