id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S2310,Ford. автосервис,Независимый,Все марки,Москва,Большая Тульская. 43,37.62273683,55.70499026,(495) 258-00-06,,,,Наличный расчет
S2311,Ford-House. автосервис,Независимый,Все марки,Москва,Варшавское шоссе. 170г - 9 бокс,37.59182292,55.57924733,(495) 64-464-30,www.ford-house.ru,10:00-20:00,10:00-20:00,Наличный расчет
S2312,Fortuna-Motors. автоцентр,Независимый,Все марки,Москва,Нововладыкинский проезд. 2 ст1,37.58002,55.85106625,(495) 223-59-23 (многоканальный),www.fortunaotradnoe.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S2313,FP-Avto. СТО,Независимый,Все марки,Москва,Очаковское шоссе. 5а,37.46029517,55.69510003,8-925-542-06-96,www.fp-avto.ru,10:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. через банк
S2314,FranceAuto. автотехцентр,Независимый,Peugeot Ciroen. Ford и Renault.  ,Москва,Даниловская Набережная. 8 ст25,37.6363559,55.70898345,(495) 998-10-78. (495) 772-14-98. (499) 235-87-36,www.sto-peugeot.ru,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S2315,Francemir. центр сервиса и авторазбора,Независимый,Peugeot. Ciroen. Renault.  ,Москва,Алтуфьевское шоссе. 27а к2,37.57593062,55.85770803,8-925-518-71-34. 8-925-506-86-61,www.francemir.ru,9:00-19:00,9:00-15:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. ч
S2316,French-Avto. автотехцентр,Независимый,Peugeotи Citroen. ,Королёв,Советская (Первомайский). 41а,37.87170856,55.94246616,(495) 518-57-03,french-avto.ru,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S2317,Fresh car. автосервис,Независимый,Все марки,Москва,Мичуринский проспект. 8 - вход с торца,37.51119563,55.705576,(499) 783-45-63. (495) 978-88-15,www.fresh-car.com,,,Наличный расчет. Visa. MasterCard. Diners Club. Золотая Корона. American Express. Maestro Card. Union Card. JCB. Универсальная Электронная Карта (УЭК)
S2318,FRESH. автосервис,Независимый,Все марки,Москва,Лескова. 6 ст2,37.60392428,55.89914043,8-925-530-39-50,,,,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S2319,F1-IGA. автосервис,Независимый,Все марки,Москва,Дубнинская. 50Б,37.55860499,55.89512911,(495) 988-60-16,www.f1-auto.ru,10:00-21:00,10:00-21:00,Наличный расчет
S2320,GGSMotors. автотехцентр,Независимый,Все марки,Москва,Очаковское шоссе. 18 ст1,37.44979427,55.69154544,(495) 649-69-17 (многоканальный),,,,Наличный расчет. Оплата через банк. через банк
S2321,Global Auto. автоцентр,Независимый,Все марки,Москва,Берзарина. 28 ст19,37.47599649,55.7889459,,www.globalauto.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S2322,Global Parts Service. автосервис,Независимый,Все марки,Щёлково (Щёлковский район),Московская. 68 ст1,37.98049001,55.90060215,8-965-141-98-89,,,,Наличный расчет. Оплата через банк. через банк
S2323,Gm Lacetti,Независимый,Все марки,Москва,Лихачёвский 2-й пер. 10,37.53055669,55.8449105,(495) 542-17-04,,,,Наличный расчет
